Recolored-Sight,https://blitz-mods.com/mod/sights/recolored-default-sight-by-muzmods-147/download/pc-wg/file?_token=x=0
Type-O,https://blitz-mods.com/mod/sights/type-o-2/download/pc-wg/file?_token=x=0
Wot-sight,https://blitz-mods.com/mod/sights/sight-from-world-of-tanks-for-wotblitz-71/download/pc-wg/file?_token=x=0
Taipan-2,https://blitz-mods.com/mod/sights/sight-taipan-2-93/download/pc-wg/file?_token=x=0
Torquoise-v3,https://blitz-mods.com/mod/sights/turquosie-v3-14/download/pc-wg/file?_token=x=0
Modern-Warfare,https://blitz-mods.com/mod/sights/modern-warfare-12/download/pc-wg/file?_token=x=0
Ready,https://blitz-mods.com/mod/sights/ready-by-andre-v-16/download/pc-wg/file?_token=x=0
