USSR🐻,Obj.777-II,Obj.777-II-Enhanced,https://drive.usercontent.google.com/download?id=1sPcM6cFRdzQ5e7Mze5P51v0GFh68TAU1&export=download&authuser=1&confirm=t&uuid=c716da11-119c-446d-bad6-84798cc4b083&at=AENtkXbndpx6FuztWGWJe8j8_J2x:1730993399618
USSR🐻,T-100LT,Gyurza,https://forblitz.ru/wp-content/uploads/2023/12/t100lt_forblitz_pc.zip
USSR🐻,T-100LT,Interceptor,https://drive.usercontent.google.com/download?id=1NJDaRzHvJY47Z69wTE_zqo7qwtxxxj7h&export=download&authuser=1&confirm=t&uuid=a6a51793-7d8a-46e6-b818-4377a324038f&at=AENtkXZ8rQFHRlrQeYgMq4Jhl9cZ:1730984861744
USSR🐻,SU-122-44,The-Viper,https://blitz-mods.com/mod/remodelings/remodeling-su-122-44-the-viper-268/download/pc-wg/file?_token=x=0
USSR🐻,Obj.907,Basalt-Burnout,https://forblitz.ru/wp-content/uploads/2024/05/obj907_basalt_burnout_pc.zip
USSR🐻,T22-medium,T22SR,https://forblitz.ru/wp-content/uploads/2022/08/updated_t22_sr_sadabsolution_steam.zip
USSR🐻,Obj.268-4,Seeper,https://forblitz.ru/wp-content/uploads/2022/09/update_object_268_4_shst_sadabsolution_steam.zip
USSR🐻,Obj.268-4,Morion,https://forblitz.ru/wp-content/uploads/2024/09/obj_268_4_morion_forblitz_21092024_pc.zip
USSR🐻,SU-130PM,Altai-Fox,https://forblitz.ru/wp-content/uploads/2023/01/su_130pms_sadabsolution_windows.zip
Japan🏯,STB-1,Skirted,https://drive.usercontent.google.com/download?id=18IBT8zFVwrIMbjcr7AAbB7Lapk2D4z5i&export=download&authuser=1&confirm=t&uuid=c925fe6c-1710-4121-ac76-c49853523eda&at=AENtkXbqk8yHiGUVL215QmJv_MOF:1730990256439
Japan🏯,STB-1,Winter-Locust,https://forblitz.ru/wp-content/uploads/2024/06/st_b1_koshigatana_forblitz_pc.zip
Japan🏯,Ho-Ri,Steel-Hunter,https://blitz-mods.com/mod/remodelings/remodeling-type-3-ho-ri-steel-hunter-215/download/pc-wg/file?_token=x=0
Japan🏯,STB-1,Koshigatana,https://forblitz.ru/wp-content/uploads/2022/07/koshigatana_qirashi_steam.zip
Japan🏯,Ho-Ri,Samurai,https://blitz-mods.com/mod/remodelings/remodeling-type-3-ho-ri-samurai-194/download/pc-wg/file?_token=x=0
German🍺,E-50M,E50-M-Revenant,https://drive.usercontent.google.com/download?id=1UKP2jkTCV7DbDPNDOkNKmb5eJR2tCnkW&export=download&authuser=1&confirm=t&uuid=b5a7560f-9e56-4e5e-88a2-9ea6532c4d63&at=APvzH3rxg1zYw9XGG6LVoKHYd_oJ:1733352965543
German🍺,E-50M,Barracuda,https://forblitz.ru/wp-content/uploads/2024/07/e50_m_panzerbarracuda_forblitz_05072024_pc.zip
German🍺,E-50M,Nimmermer,https://forblitz.ru/wp-content/uploads/2022/12/nimmermer_steam.zip
German🍺,E-100,Deusex,https://forblitz.ru/wp-content/uploads/2022/08/update_e100_deusex_sadabsolution_steam.zip
German🍺,E-100,Nemesis,https://forblitz.ru/wp-content/uploads/2023/06/e100_pinny_steam.zip
German🍺,E-100,Klarer-Himmel,https://forblitz.ru/wp-content/uploads/2022/06/e100nem-9_steam.zip
German🍺,E-100,Cannon-Boss,https://forblitz.ru/wp-content/uploads/2024/10/e100_cannon_boss_2024_pc.zip
German🍺,E-100,Nemesis-Addon,https://drive.usercontent.google.com/download?id=1kUrgbOj3B9sK0MiCFpbeTonvE_dmdkb9&export=download&authuser=1&confirm=t&uuid=085afa3a-5257-4b5b-b13b-7c2861bf954f&at=AENtkXYwGClRUIPN4DDNsoVH1Q-6:1731714220807
German🍺,E-100,Invincible,https://forblitz.ru/wp-content/uploads/2022/07/updated_e100_hellboss_sadabsolution_steam.zip
German🍺,E-100,Rote-Grundierung,https://blitz-mods.com/mod/remodelings/remodeling-e-100-rote-grundierung-269/download/pc-wg/file?_token=x=0
German🍺,Kpz70,Kpz70-Enhanced,https://blitz-mods.com/mod/remodelings/remodeling-kampfpanzer-70-230/download/pc-wg/file?_token=x=0
German🍺,Grille-15,Blitztrager,https://blitz-mods.com/mod/remodelings/remodeling-blitztrager-auf-grille-15-182/download/pc-wg/file?_token=x=0
German🍺,Grille-15,Igelshnauzchen,https://forblitz.ru/wp-content/uploads/2022/07/updated_grille_15_igelschnauzchen_sadabsolution_steam.zip
German🍺,Jg.Pz-E-100,Jager,https://blitz-mods.com/mod/remodelings/jagdpanzer-e100-jager-custom-3d-style-254/download/pc-wg/file?_token=x=0
German🍺,Jg.Pz-E-100,Panzersheriff,https://forblitz.ru/wp-content/uploads/2022/10/jag_e100_3dst_steam.zip
German🍺,Leopard-1,Mexas,https://blitz-mods.com/mod/remodelings/remodeling-leopard-1-c2-mexas-209/download/pc-wg/file?_token=x=0
German🍺,Leopard-1,Mirny-13,https://forblitz.ru/wp-content/uploads/2022/01/leopard1_qirashi_pc_dx11.zip
German🍺,Leopard-1,Reiter,https://forblitz.ru/wp-content/uploads/2023/01/leopard1_reytar_steam.zip
German🍺,Leopard-1,Lion,https://drive.usercontent.google.com/download?id=1MGLq4Vnd2rl9fOTw7ICaNPuBDIKY-MYG&export=download&authuser=1&confirm=t&uuid=572466e0-a84e-4690-a419-7d4805a6912b&at=AENtkXbVmafZScttTY6NUZnb62y:1730988335022
German🍺,Leopard-1,1a1,https://drive.usercontent.google.com/download?id=1Dcu7EMk4XMOplHd0EI6t-6-svzb9zxzr&export=download&authuser=1&confirm=t&uuid=86e4a6de-b474-4ca9-a769-6dab9e9e3dda&at=AENtkXZJ2vC1QouzEFmjgoAc4x2:1730989957853
German🍺,Maus,Wüstenschiff,https://blitz-mods.com/mod/remodelings/remodeling-maus-wustenschiff-235/download/pc-wg/file?_token=x=0
German🍺,Maus,Landkreuzer,https://forblitz.ru/wp-content/uploads/2023/01/maus_landkreuzer_2024_pc.zip
German🍺,VK-90.01(P),VK-90.01(P)-Enhanced,https://blitz-mods.com/mod/remodelings/vk-9001-p-wg-127/download/pc-wg/file?_token=x=0
German🍺,Jg.Pz-E-100,Jager-Addon,https://drive.usercontent.google.com/download?id=161vS96m3EruxZBsMrmK4PVWKTVVPzaFw&export=download&authuser=1&confirm=t&uuid=c2e5f6a8-252e-4117-ad12-de2f2425a656&at=AENtkXZz1pmYoxslIOaHlz6iwz-j:1730990469900
German🍺,VK-72.01K,Vergeltun,https://drive.usercontent.google.com/download?id=1knlGYcu5Ll5JRg6SejUM01Qv3LzYUeQL&export=download&authuser=1&confirm=t&uuid=4409e2b1-6551-497d-89b2-c26661301aee&at=AENtkXYOaOCC2uXbXrSY-yJfjfV8:1730990120926
German🍺,VK-72.01K,Butcher-Joe,https://forblitz.ru/wp-content/uploads/2024/02/vk7201_custom_forblitz_pc_wg.zip
German🍺,Rhm.-B.WT,Rhm-Igelshnauzchen,https://forblitz.ru/wp-content/uploads/2024/11/rhb_borsh_igelschneutzchen_forblitz_260924_pc.zip
German🍺,Rhm.-B.WT,Fretchen,https://forblitz.ru/wp-content/uploads/2022/07/updated_rhm_borsig_wt_frettchen_sadabsolution_steam.zip
German🍺,Rhm.-B.WT,Jagermeister,https://blitz-mods.com/mod/remodelings/remodeling-rhm-borsig-waffentrager-jagermeister-228/download/pc-wg/file?_token=x=0
German🍺,Tiger-II,Schneide,https://forblitz.ru/wp-content/uploads/2023/01/tigerii_schneide_fordelari_steam.zip
German🍺,Tiger-II,Defender,https://blitz-mods.com/mod/remodelings/remodeling-tiger-ii-ausf-defender-170/download/pc-wg/file?_token=x=0
German🍺,Tiger-II,Tiger-II-Enhanced,https://drive.usercontent.google.com/download?id=1jLOvOQfQzW_qteveHCbpSAvSWDXBpGAK&export=download&authuser=1&confirm=t&uuid=9c8a93d5-8609-406c-b52d-c5b0de531635&at=AENtkXaFUsgimhISqN6utSY7iAR5:1732362424834
German🍺,E-75,E-75-Enhanced,https://forblitz.ru/wp-content/uploads/2023/01/g55_e-75_bild2_steam.zip
German🍺,Skorpion-G,Skorpion-Igelshnauzchen,https://forblitz.ru/wp-content/uploads/2024/09/scorp_g_igelschneutzchen_forblitz_230924_pc.zip
German🍺,Skorpion-G,Rheinmetall,https://forblitz.ru/wp-content/uploads/2022/07/blackscorpion_pc_bl1ndingligts.zip
German🍺,Waffentrager-auf-Pz.IV,Waffle-Igelshnauzchen,https://forblitz.ru/wp-content/uploads/2024/11/waffentrager_iv_igelschneutzchen_forblitz_051124_pc.zip
German🍺,leKpz-M41-90mm,Bundeswehr,https://blitz-mods.com/mod/remodelings/m41-90-mm-107/download/pc-wg/file?_token=x=0
German🍺,leKpz-M41-90mm,Cerberus,https://forblitz.ru/wp-content/uploads/2023/11/m4190cerberus_steam_auto.zip
GB🌧️,FV4005,King-Favius,https://blitz-mods.com/mod/remodelings/fv-4005-king-favius-259/download/pc-wg/file?_token=x=0
GB🌧️,FV4005,Thunderchild,https://forblitz.ru/wp-content/uploads/2024/03/4005_thunderchild_forblitz_pc.zip
GB🌧️,FV4005,GB83,https://forblitz.ru/wp-content/uploads/2022/02/fv4005_steam.zip
GB🌧️,FV4202,FourLeaf,https://forblitz.ru/wp-content/uploads/2022/11/4202patrick_steam.zip
GB🌧️,FV217-Badger,Morded,https://forblitz.ru/wp-content/uploads/2023/01/fv217_badger_mortred_pc.zip
GB🌧️,Chieftain-Mk.6,Chieftain-Mk.6-Enhanced,https://blitz-mods.com/mod/remodelings/remodeling-chieftain-mk13-243/download/pc-wg/file?_token=x=0
GB🌧️,Super-Conqueror,Sentinel,https://forblitz.ru/wp-content/uploads/2023/02/superconq_sentinel_steam.zip
GB🌧️,Super-Conqueror,Jupiter-Fulgur,https://forblitz.ru/wp-content/uploads/2023/02/jupiter_forblitz_steam.zip
GB🌧️,Chieftain-Mk.6,Agent,https://drive.usercontent.google.com/download?id=1ah2mYqOF8hgQp0fxEAxnIo7WZBAew0ty&export=download&authuser=1&confirm=t&uuid=b27e5ebb-d45c-44bd-9952-12e343e4f23c&at=AENtkXZBCQ09ns5igZfTod2KVSn1:1730993487975
GB🌧️,FV217-Badger,200,https://blitz-mods.com/mod/remodelings/remodeling-badger-anniversary-173/download/pc-wg/file?_token=x=0
GB🌧️,FV215b-183,Tesla,https://forblitz.ru/wp-content/uploads/2023/12/fv215b183_tesla_pc.zip
